073-61-4614,John,DeGette,073-61-4614,none,111-196-5959,John74,74,11
675-28-8848,John,Udall,675-28-8848,none,808-150-8613,John75,75,11
209-62-6226,Johnny,McInnis,209-62-6226,none,776-708-1334,Johnny76,76,11
289-44-0656,Katherine,Musgrave,289-44-0656,none,884-563-5952,Katherine77,77,11
251-60-2620,Ken,Hefley,251-60-2620,none,170-749-6209,Ken78,78,11
249-54-2263,Kendrick,Tancredo,249-54-2263,none,542-966-7930,Kendrick79,79,11
645-52-2871,Leonard,Beauprez,645-52-2871,none,267-796-9492,Leonard80,80,11
265-92-4598,Madeleine,Miller,265-92-4598,jeff.miller@insys.com,319-920-9550,Madeleine81,88,12
469-23-8839,Lincoln,Larson,469-23-8839,none,465-304-1208,Lincoln82,81,12
170-48-7185,Linda,Simmons,170-48-7185,none,966-507-8653,Linda83,82,12
231-76-8666,Lois,DeLauro,231-76-8666,none,443-469-8868,Lois84,83,12
034-95-9462,Loretta,Shays,034-95-9462,none,333-480-9826,Loretta85,84,12
441-45-7065,Luis,Johnson,441-45-7065,none,828-289-1331,Luis86,85,12
474-98-9873,Lynn,Norton,474-98-9873,none,690-965-7414,Lynn87,86,12
291-04-2665,Mac,Castle,291-04-2665,none,723-850-3053,Mac88,87,12
067-99-1177,Marilyn,Boyd,067-99-1177,none,839-463-9224,Marilyn89,89,12
743-10-4950,Mario,Brown,743-10-4950,none,633-630-7194,Mario90,90,12
202-45-1512,Marion,Crenshaw,202-45-1512,none,582-995-9237,Marion91,91,12
217-37-7386,Mark,Brown-Waite,217-37-7386,none,603-962-4316,Mark92,92,12
626-08-8206,Mark,Stearns,626-08-8206,none,468-406-8005,Mark93,93,12
564-59-5635,Mary,Mica,564-59-5635,none,355-639-2809,Mary94,94,12
141-84-8110,Max,Keller,141-84-8110,none,338-468-4704,Max95,95,12
625-15-3224,Michael,Young,625-15-3224,Bill.Young@insys.com,113-781-2876,Michael96,97,13
121-54-2414,Michael,Putnam,121-54-2414,ask.adam@insys.com,273-840-5715,Michael97,99,13
343-12-6196,Mike,Foley,343-12-6196,mark.foley@insys.com,171-928-4673,Mike98,103,13
748-72-4320,Maxine,Bilirakis,748-72-4320,none,371-158-4366,Maxine99,96,13
739-75-9105,Michael,Davis,739-75-9105,none,318-101-2085,Michael100,98,13
102-97-6746,Michael,Harris,102-97-6746,none,196-474-2022,Michael101,100,13
101-06-1351,Michael,Goss,101-06-1351,none,814-956-1981,Michael102,101,13
035-49-6292,Mike,Weldon,035-49-6292,none,738-559-1611,Mike103,102,13
550-83-1681,Nancy,Meek,550-83-1681,none,870-284-1065,Nancy104,104,13
704-12-0864,Nancy,Ros-Lehtinen,704-12-0864,none,152-522-4746,Nancy105,105,13
644-79-5829,Nathan,Wexler,644-79-5829,none,522-793-5330,Nathan106,106,14
060-06-7150,Neil,Deutsch,060-06-7150,none,858-805-3153,Neil107,107,14
407-37-3602,Pete,Diaz-Balart,407-37-3602,none,147-124-3165,Pete108,108,14
691-18-6171,Peter,Shaw,691-18-6171,none,255-297-1578,Peter109,109,14
092-73-0197,Phil,Hastings,092-73-0197,alcee.pubhastings@insys.com,726-393-5321,Phil110,110,15
096-23-0612,Porter,Feeney,096-23-0612,none,828-208-4889,Porter111,111,15
445-65-1245,Randy,Diaz-Balart,445-65-1245,none,926-847-9489,Randy112,112,15
048-84-2670,Raul,Kingston,048-84-2670,jack.kingston@insys.com,987-917-8775,Raul113,113,16
411-64-0069,Richard,Bishop,411-64-0069,bishop.email@insys.com,455-788-1616,Richard114,114,16
730-97-8136,Richard,Marshall,730-97-8136,none,462-840-5838,Richard115,115,17
458-29-6489,Rick,Majette,458-29-6489,none,836-364-3773,Rick116,116,17
954-57-2199,Robert,Isakson,954-57-2199,ga06@insys.com,584-269-2080,Robert117,118,18
889-79-4109,Rob,Lewis,889-79-4109,none,369-223-1836,Rob118,117,18
134-47-0064,Robert,Linder,134-47-0064,none,801-425-4056,Robert119,119,19
226-00-8019,Robert,Collins,226-00-8019,none,858-152-6988,Robert120,120,20
710-32-8081,Sanford,Gingrey,710-32-8081,gingrey.ga@insys.com,729-795-5729,Sanford121,123,21
021-86-3279,Rosa,Norwood,021-86-3279,none,391-880-8073,Rosa122,121,21
466-01-5317,Sam,Deal,466-01-5317,none,780-807-6548,Sam123,122,21
689-87-0570,Scott,Burns,689-87-0570,none,606-251-3621,Scott124,124,21
897-59-9023,Spencer,Scott,897-59-9023,none,668-613-2035,Spencer125,125,21
507-52-7439,Susan,Abercrombie,507-52-7439,neil.abercrombie@insys.com,529-719-5901,Susan126,127,22
607-62-9357,Steve,Bordallo,607-62-9357,none,252-450-4672,Steve127,126,22
434-85-4969,Terry,Case,434-85-4969,none,613-304-7598,Terry128,128,22
491-19-6768,Thomas,Nussle,491-19-6768,none,721-106-1847,Thomas129,129,23
440-50-4403,Tom,Leach,440-50-4403,none,127-864-2365,Tom130,130,23
764-68-6634,Tom,Latham,764-68-6634,latham.ia05@insys.com,533-936-8249,Tom131,132,24
335-98-4008,Tom,Boswell,335-98-4008,none,725-256-1172,Tom132,131,24
674-94-5747,Vic,Otter,674-94-5747,butch.otter@insys.com,660-273-7723,Vic133,134,25
191-04-6392,Trent,King,191-04-6392,none,188-666-6209,Trent134,133,25
201-07-9932,Virginia,Simpson,201-07-9932,none,922-841-3857,Virginia135,135,26
152-42-7392,Walter,Rush,152-42-7392,none,127-993-7356,Walter136,136,27
173-85-7552,William,Jackson,173-85-7552,jjackson@jessejacksonjr.org,493-523-4552,William137,137,28
381-18-9749,Xavier,Lipinski,381-18-9749,none,983-137-6597,Xavier138,138,29
635-48-4606,Zoe,Gutierrez,635-48-4606,none,743-757-6656,Zoe139,139,30
